F_Hb_na F_Hb_br F_Ha_na F_Ha_br F_O3a_na F_O3a_br F_O3b_na F_O3b_br F_N2_new F_S2_new
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
8.830671277919542 0.0 11.6088791472892 0.0 3.8473469327022602 0.0 11.54204079810678 0.0 2.1396280693525536 11.533876295958962
21.884607200836975 0.0 26.874197527360295 0.0 5.531451224879006 0.0 16.594353674637016 0.0 6.032367022232745 11.533876295958962
21.884607200836975 0.0 26.874197527360295 0.0 5.531451224879006 0.0 16.594353674637016 0.0 6.032367022232745 11.533876295958962
21.884607200836975 0.0 26.874197527360295 0.0 5.531451224879006 0.0 16.594353674637016 0.0 6.032367022232745 6.75050121568529
21.884607200836975 0.0 26.874197527360295 0.0 5.531451224879006 0.0 16.594353674637016 0.0 6.032367022232745 6.75050121568529
21.884607200836975 0.0 26.874197527360295 0.0 5.531451224879006 0.0 16.594353674637016 0.0 6.032367022232745 6.75050121568529
29.365733487871964 0.0 46.18864367004472 0.0 11.38894350347534 0.0 34.166830510426024 0.0 17.72200221017406 6.75050121568529
29.365733487871964 0.0 46.18864367004472 0.0 11.38894350347534 0.0 34.166830510426024 0.0 17.72200221017406 6.75050121568529
29.365733487871964 0.0 46.18864367004472 0.0 11.38894350347534 0.0 34.166830510426024 0.0 17.72200221017406 6.75050121568529
-8.428725819288475 0.0 58.920187770192875 0.0 8.4710962000501 0.0 25.413288600150302 0.0 16.9116872338688 6.75050121568529
-8.428725819288475 0.0 58.920187770192875 0.0 8.4710962000501 0.0 25.413288600150302 0.0 16.9116872338688 6.75050121568529
-8.428725819288475 0.0 58.920187770192875 0.0 8.4710962000501 0.0 25.413288600150302 0.0 16.9116872338688 6.75050121568529
-2.5350087818497977 0.0 71.05610302763831 0.0 6.243574093851642 0.0 18.730722281554925 0.0 16.562133769148268 7.435102862069642
-2.5350087818497977 0.0 71.05610302763831 0.0 6.243574093851642 0.0 18.730722281554925 0.0 16.562133769148268 7.435102862069642
