#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
39 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.28 0.30 -1.04 0.52 -1.29 0.23
40 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.27 0.31 -0.70 0.45 -1.50 0.29
41 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.33 0.30 -0.77 0.44 -1.45 0.32
42 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.38 0.30 -0.85 0.50 -1.51 0.30
43 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.19 0.33 -0.57 0.55 -1.41 0.40
44 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.36 0.31 -0.77 0.51 -1.50 0.32
45 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.31 0.30 -0.69 0.52 -1.53 0.31
46 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.34 0.31 -0.70 0.53 -1.45 0.37
47 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.26 0.33 -0.67 0.42 -1.52 0.34
48 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.37 0.29 -0.82 0.48 -1.43 0.35
49 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.41 0.27 -0.90 0.48 -1.31 0.28
50 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.36 0.34 -0.78 0.52 -1.36 0.27
51 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.27 0.34 -0.80 0.56 -1.63 0.30
52 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.43 0.29 -1.17 0.51 -1.35 0.27
53 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.25 0.36 -0.89 0.57 -1.47 0.32
54 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.34 -1.01 0.54 -1.39 0.35
55 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.39 0.30 -1.15 0.44 -1.38 0.27
56 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.36 0.30 -1.10 0.57 -1.47 0.31
57 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.34 0.31 -0.96 0.53 -1.46 0.31
58 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.47 0.28 -1.31 0.52 -1.41 0.25
59 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.33 -1.05 0.47 -1.41 0.29
60 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.33 -0.93 0.48 -1.48 0.28
61 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.36 -1.04 0.54 -1.42 0.33
62 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 7.99 0.35 -1.02 0.53 -1.38 0.36
63 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.07 0.35 -1.28 0.46 -1.33 0.40
64 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.10 0.35 -1.09 0.49 -1.45 0.28
65 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.07 0.37 -1.12 0.53 -1.53 0.27
66 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.09 0.36 -1.13 0.54 -1.44 0.31
67 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.02 0.36 -0.90 0.41 -1.42 0.32
68 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.14 0.36 -0.97 0.41 -1.35 0.28
69 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.00 0.36 -0.78 0.56 -1.48 0.28
70 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.34 0.33 -0.88 0.50 -1.49 0.33
71 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.32 0.33 -0.73 0.42 -1.40 0.28
72 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.42 0.28 -0.96 0.55 -1.37 0.27
73 0.000 0.000 0.000 0.000 0.000 0.000 0.530 2.451 0.562 1.988 0.092 2.764 2 8.38 0.30 -0.83 0.56 -1.46 0.29
74 0.000 0.000 0.000 0.000 0.000 0.000 0.530 2.451 0.562 1.988 0.092 2.764 2 8.30 0.32 -0.69 0.36 -1.41 0.37
75 0.000 0.000 0.000 0.000 0.000 0.000 0.479 0.015 0.108 0.008 0.021 0.015 2 7.54 0.40 -0.26 0.27 -2.08 0.09
76 0.000 0.000 0.000 0.000 0.000 0.000 0.018 0.434 0.007 0.293 0.002 0.450 2 7.92 0.40 -0.98 0.56 -1.49 0.28
77 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.002 0.016 0.369 0.003 0.528 2 7.86 0.42 -0.93 0.49 -1.30 0.13
78 0.000 0.000 0.000 0.000 0.000 0.000 0.027 0.492 0.021 0.317 0.003 0.491 2 7.84 0.37 -0.78 0.53 -1.46 0.33
79 0.000 0.000 0.000 0.000 0.000 0.000 0.025 0.425 0.028 0.349 0.004 0.557 2 7.86 0.35 -0.76 0.44 -1.42 0.32
80 0.000 0.000 0.000 0.000 0.000 0.000 0.013 0.404 0.007 0.208 0.003 0.495 2 7.96 0.39 -1.27 0.52 -1.43 0.28
81 0.000 0.000 0.000 0.000 0.000 0.000 0.007 9.032 0.010 0.261 0.002 0.371 2 8.19 0.40 -0.91 0.52 -2.02 0.11
82 0.000 0.000 0.000 0.000 0.000 0.000 0.008 0.231 0.004 0.155 0.002 0.383 2 7.89 0.40 -1.00 0.48 -1.35 0.22
83 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.002 0.383 2 7.83 0.36 -0.80 0.29 -1.44 0.29
84 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.002 0.383 2 7.83 0.37 -0.86 0.51 -1.57 0.34
85 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.001 0.352 2 7.84 0.38 -0.95 0.47 -1.60 0.29
86 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.21 0.34 -0.84 0.58 -1.32 0.28
87 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.13 0.34 -0.77 0.49 -1.48 0.36
88 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.17 0.34 -0.79 0.48 -1.43 0.36
89 0.000 0.000 0.000 0.000 0.000 0.000 0.065 1.208 0.055 1.248 0.023 1.729 2 8.18 0.31 -0.90 0.57 -1.35 0.25
90 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.31 0.31 -0.66 0.48 -1.51 0.27
91 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.27 0.37 -0.77 0.47 -1.39 0.33
92 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.40 0.35 -0.95 0.41 -1.36 0.31
93 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.034 2.095 2 8.23 0.33 -0.84 0.62 -1.42 0.37
94 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.36 0.29 -0.87 0.59 -1.30 0.26
95 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.35 0.32 -0.85 0.43 -1.39 0.36
96 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.22 0.34 -0.61 0.42 -1.47 0.32
97 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.21 0.34 -0.68 0.45 -1.49 0.32
98 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.37 0.28 -0.84 0.59 -1.38 0.27
99 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.37 0.29 -0.83 0.52 -1.39 0.29
