#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -0.8. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
1 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.27 -1.07 0.47 -1.48 0.32
2 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.55 0.28 -1.20 0.44 -1.59 0.30
3 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.52 0.26 -1.26 0.54 -1.57 0.28
4 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.30 -1.14 0.49 -1.56 0.30
5 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.30 -1.41 0.44 -1.60 0.25
6 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.44 0.34 -1.18 0.55 -1.60 0.32
7 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.31 -0.98 0.45 -1.64 0.29
8 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.30 -1.31 0.49 -1.45 0.34
9 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.34 -1.15 0.48 -1.64 0.33
10 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.54 0.28 -1.19 0.47 -1.67 0.31
11 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.29 -1.15 0.53 -1.58 0.35
12 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.29 0.29 -0.96 0.56 -1.63 0.31
13 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.30 0.31 -1.21 0.55 -1.55 0.38
14 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.07 0.34 -0.80 0.57 -1.71 0.31
15 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.12 0.35 -0.87 0.49 -1.59 0.36
16 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.14 0.34 -0.89 0.45 -1.58 0.36
17 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.12 0.33 -0.63 0.41 -1.62 0.31
18 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.17 0.31 -0.64 0.55 -1.71 0.35
19 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.05 0.32 -0.57 0.49 -1.60 0.36
20 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.77 0.13 -0.86 0.36 -1.67 0.32
21 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.79 0.18 -0.93 0.44 -1.65 0.42
22 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.82 0.12 -0.86 0.33 -1.57 0.33
