#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
39 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.27 0.34 -0.83 0.60 -1.33 0.28
40 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.41 0.29 -0.66 0.55 -1.46 0.32
41 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.43 0.31 -0.82 0.43 -1.54 0.26
42 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.39 0.31 -0.72 0.44 -1.47 0.27
43 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.38 0.34 -0.72 0.54 -1.59 0.32
44 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.44 0.32 -0.78 0.48 -1.40 0.25
45 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.53 0.20 -0.77 0.43 -1.37 0.24
46 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.39 0.32 -0.59 0.44 -1.40 0.27
47 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.44 0.25 -0.79 0.58 -1.45 0.28
48 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.40 0.34 -0.74 0.40 -1.43 0.25
49 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.41 0.26 -0.87 0.59 -1.49 0.35
50 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.49 0.27 -1.01 0.63 -1.43 0.23
51 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.31 -1.24 0.51 -1.56 0.28
52 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.29 -1.15 0.39 -1.44 0.24
53 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.47 0.32 -1.23 0.48 -1.55 0.22
54 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.28 -1.24 0.51 -1.37 0.22
55 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.46 0.31 -1.22 0.51 -1.42 0.23
56 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.30 -1.31 0.44 -1.38 0.24
57 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.27 -1.05 0.54 -1.39 0.24
58 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.31 -1.28 0.50 -1.47 0.26
59 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.39 0.31 -1.05 0.56 -1.44 0.29
60 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.30 -1.26 0.47 -1.48 0.25
61 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.28 -1.23 0.50 -1.49 0.25
62 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.29 0.30 -1.16 0.56 -1.39 0.29
63 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.22 0.32 -0.96 0.42 -1.46 0.31
64 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.28 0.32 -1.13 0.52 -1.53 0.31
65 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.22 0.32 -0.97 0.46 -1.53 0.29
66 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.23 0.35 -1.02 0.42 -1.56 0.34
67 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.10 0.33 -0.56 0.45 -1.67 0.27
68 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.24 0.34 -0.72 0.45 -1.61 0.31
69 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.15 0.33 -0.61 0.37 -1.58 0.35
70 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.77 0.14 -0.96 0.36 -1.49 0.25
71 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.85 0.13 -0.83 0.36 -1.43 0.28
72 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.69 0.18 -0.94 0.39 -1.53 0.31
73 0.000 0.000 0.000 0.000 0.000 0.000 -4.747 8.008 -5.046 8.344 -0.828 3.067 3 8.85 0.11 -0.81 0.34 -1.48 0.32
74 0.000 0.000 0.000 0.000 0.000 0.000 -4.747 8.008 -5.046 8.344 -0.828 3.067 3 8.89 0.10 -0.80 0.43 -1.41 0.33
75 0.000 0.000 0.000 0.000 0.000 0.000 4.710 8.875 3.987 7.344 0.869 3.291 2 8.56 0.25 -0.51 0.39 -1.46 0.31
76 0.000 0.000 0.000 0.000 0.000 0.000 0.968 0.725 0.410 0.383 0.135 0.457 2 7.92 0.34 -0.59 0.44 -1.76 0.27
77 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.077 0.757 0.710 0.158 0.543 2 7.82 0.32 -0.53 0.48 -1.11 0.27
78 0.000 0.000 0.000 0.000 0.000 0.000 1.371 0.834 1.036 0.599 0.147 0.496 2 8.13 0.32 -0.42 0.30 -1.73 0.26
79 0.000 0.000 0.000 0.000 0.000 0.000 1.129 0.850 1.264 0.895 0.167 0.568 2 8.05 0.33 -0.30 0.21 -1.69 0.27
