OII_3727 eOII_3727 NeIII_3868 eNeIII_3868 OIII_4363 eOIII_4363 OIII_4959 eOIII_4959 OIII_5007 eOIII_5007 NII_6584 eNII_6584 SII_6725 eSII_6725
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
0.0 0.0 0.0 0.0 0.0 0.0 0.43568000796522394 2.241447743004522 1.3070400238956719 6.724343229013566 0.24229506478205565 1.6135515190786622 1.3061154620032782 6.804933232054933
