info_name info
W80_med 455.3807775179731
V50_med -114.63844426102179
V80_med 406.98286028923377
W80_max 769.0329629067435
V50_max -195.19065296508072
V80_max 471.3168870846128
log_Mstar 9.675778341674086
log_MBH 5.56466606425209
log_LO3 40.687
log_LAGN 42.83928834
V_esc 431.4
V_esc_err 17.9
f_W80_med 1.0555882649929835
f_W80_med_err 0.08214141879430109
f_vout_med 0.9434002324738845
f_vout_med_err 0.08951843132472374
f_W80_max 1.7826447911607406
f_W80_max_err 0.08268333476518523
f_vout_max 1.0925287136870951
f_vout_max_err 0.11391153374107152
